Category,Program,INIT,M,N,K,P,Time,Checksum
correctness,./matrix_seq,ones,4,4,4,4,0.000000,64.000000
correctness,./matrix_parallel,ones,4,4,4,4,0.000071,64.000000
correctness,./matrix_seq,rand,4,4,4,4,0.000000,14.950411
correctness,./matrix_parallel,rand,4,4,4,4,0.000057,14.950411
correctness,./matrix_seq,identity,4,4,4,4,0.000000,0.120000
correctness,./matrix_parallel,identity,4,4,4,4,0.000064,0.120000
complexity,./matrix_parallel,ones,100,100,100,4,0.000243,1000000.000000
complexity,./matrix_parallel,ones,200,200,200,4,0.003084,8000000.000000
complexity,./matrix_parallel,ones,400,400,400,4,0.023248,64000000.000000
complexity,./matrix_parallel,ones,800,800,800,4,0.198134,512000000.000000
strong_scaling,./matrix_parallel,ones,1000,1000,1000,1,1.286777,1000000000.000000
strong_scaling,./matrix_parallel,ones,1000,1000,1000,2,0.633964,1000000000.000000
strong_scaling,./matrix_parallel,ones,1000,1000,1000,4,0.371279,1000000000.000000
strong_scaling,./matrix_parallel,ones,1000,1000,1000,8,0.243057,1000000000.000000
weak_scaling,./matrix_parallel,ones,500,500,500,1,0.141574,125000000.000000
weak_scaling,./matrix_parallel,ones,629,629,629,2,0.152653,248858189.000000
weak_scaling,./matrix_parallel,ones,793,793,793,4,0.200020,498677257.000000
weak_scaling,./matrix_parallel,ones,1000,1000,1000,8,0.266963,1000000000.000000
init_compare,./matrix_parallel,ones,1000,1000,1000,8,0.239456,1000000000.000000
init_compare,./matrix_parallel,rand,1000,1000,1000,8,0.231509,250039824.276771
init_compare,./matrix_parallel,identity,1000,1000,1000,8,0.224611,499500.000000
rectangular,./matrix_seq,ones,512,256,128,1,0.016345,16777216.000000
rectangular,./matrix_parallel,ones,512,256,128,8,0.004436,16777216.000000
rectangular,./matrix_seq,ones,1024,512,256,1,0.156347,134217728.000000
rectangular,./matrix_parallel,ones,1024,512,256,8,0.033414,134217728.000000
rectangular,./matrix_seq,ones,768,1024,256,1,0.252684,201326592.000000
rectangular,./matrix_parallel,ones,768,1024,256,8,0.053926,201326592.000000
rectangular,./matrix_seq,ones,300,600,900,1,0.196224,162000000.000000
rectangular,./matrix_parallel,ones,300,600,900,8,0.044825,162000000.000000
rectangular,./matrix_seq,ones,1200,300,900,1,0.333172,324000000.000000
rectangular,./matrix_parallel,ones,1200,300,900,8,0.075684,324000000.000000
big_sizes,./matrix_parallel,ones,1200,1200,1200,8,0.415684,1728000000.000000
big_sizes,./matrix_parallel,ones,1600,1600,1600,8,1.235191,4096000000.000000
big_sizes,./matrix_parallel,ones,2000,2000,2000,8,2.673096,8000000000.000000
big_sizes,./matrix_parallel,ones,2400,2400,2400,8,4.533270,13824000000.000000
big_sizes,./matrix_parallel,ones,3000,3000,3000,8,9.787570,27000000000.000000
threads_overload,./matrix_parallel,ones,1000,1000,1000,8,0.240635,1000000000.000000
threads_overload,./matrix_parallel,ones,1000,1000,1000,16,0.208238,1000000000.000000
threads_overload,./matrix_parallel,ones,1000,1000,1000,24,0.210963,1000000000.000000
